"keywords","label0","label1","label2","label3","label4","label5","label6","label7","label8","label9","label10","label11","label12","label13","label14","label15"
" Here, indeed, you can see what was done for yourself, for convenience, for rest","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The rooms with furniture are interesting for their decoration","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
" There can be no luxury here, but the ascetic style is not called either","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" In a word-it is China","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Genuine and demanding from the tourist understanding","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The fence with the dragon is the ""highlight"" of the garden","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In winter, too, there is something to see-a garden of stones, all kinds of pagodas and coniferous plants","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" And there are few tourists, which also contributes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A unique and unrepeatable experience, which everyone should be able to live at least once in their lives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I recommend we arrive at sunset, when the lights have not yet been turned on, to witness the beginning of magic","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We went to the mausoleum during the golden week, the week of October where practically no Chinese works and from the countryside they move towards the big cities","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" We definitely chose the worst time but it was still a nice trip","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Surrounded by greenery, reachable after so many steps, it is worth the effort","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The father of the homeland rests on the top of the purple mountain, in this mausoleum with a blue ceiling with a white sun in the center, the flag of Guomindang","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leave it to be desired in a variety of adrenaline options and the agility of the workers, yet it's still a fun place to have fun in Shanghai","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is said that this ancient Panmen is the only existing amphibious gate in that vast China","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" When sightseeing, there is not a sudden door, but enter the land from the ticket office and go inside","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" There are ponds and towers on the way, so they are also worth seeing","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maybe it's because it covers a lot of land, so I walk very fast","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" There is also a Ferris wheel","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Your goal is that tourists and local residents are like ""pandas""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" There are also many kinds of animals","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" There's a store, too","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" The toilet is cleaner than I thought","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
" However, they don't seem to take much care of animals","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Can I take care of them again?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I went late afternoon and it is still very crowded","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You can find all type of local food and lot of shopping too","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The perfect place to get souvenir for family and friends","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A walk through the Bund or ""malecon"" overlooking the Huangpu River at night is highly recommended, and better before the Pudong lights are turned off to enjoy the typical views of the lighted Shanghai skyline","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"They visited this pagoda before closing and saw it in the light, it is very beautiful","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The pagoda itself, as well as the great importance-is a new building, from the old one there is only a foundation that can also be seen","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" We were taken to the top of the tower by elevator, below of course on foot, because of the late singing we could not see the area around us, but it did not upset us much","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The view from above opens up wonderful, of course if there is no smog","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I recommend to visit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I walked to the water front as it was getting dark after about 20 minutes the lights came on","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Many of the buildings are light and or lined with lights","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Both sides of the river are nice to look at","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beautiful views over Shanghai","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" In terms of the views, the 120 yuan ticket and 180 yuan ticket are roughly similar (see two pics - one from level 94, one from 100)","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" But in terms of the feel, the 180 yuan ticket is worth it","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" You experience a lot more through the aid of open ceilings and glass bottoms, of windows that lean over to give you vertigo, and the way nicer atmosphere of levels 97 and 100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Level 94 is the gift shop floor with a cafe and s concurrent exhibit for Chile tourism which takes up the bulk of floor space","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" On level 94, you can buy a ticket to level 100 for extra 70 yuan (so it costs 10 yuan more)","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" Just buy the 180 yuan ticket","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" as you walk out into level 3 of the IFC, there's a convenient family mart","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" But there's also a Daiso downstairs (everything is 10 yuan), so if you need nail clippers or tissues, etc","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" just catch the escalator down and avoid paying triple the price","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" You get given a booklet of coupons with your entry fee, which includes most of the restaurants and juice bars, even the massage spa - so you might want to hold off until after you've seen the view","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"At first, we thought that entry ticket is very expensive","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" but in the end we found it all worth it","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Visited all levels and enjoyed the museum","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I loved so much about the garden","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  I loved the statues, the rock formations, the flowers , the meandering path and the buildings in the area","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  It was a nice contrast to the hustle and bustle of Shanghai","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I have been here a few times over the last couple of years","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" As many reviewer have said, it can be extremely crowded if you go at the wrong time","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I have found that visiting in the morning any day the week or most weekdays tend to have a much smaller crowd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"As you would expect, it’s a much more enjoyable experience when you aren’t stuck in a throng of tourists","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It’s a beautiful place of well-preserved historical beauty and should definitely be something to make time for","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"If you think it is crowded in the day time wait til the evening","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  But then it is worth it","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  The view across to the Pudong is fantastic","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  All of the buildings that look amazing during the day time are now lit up with lights","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  They change and move seemingly dancing from one building to another","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  There is little to do other than walk on this little stretch and you have to cross back over the road to find restaurants etc but if seeing the sights is your thing, this is a must","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Since it's just less than 1 hr bus ride from SH, so my boyfriend and I just went there for an afternoon","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" The bus was easy to find, 12rmb per ride","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" I'd say the water village is a giant tour spot with tons of souvenir shop","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"  Not very much to visit in fact","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Maybe because I have been to Wuzhen before, so same place to me","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" But the special part is the nice hip tea house along the river","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" It's quite pricey but the quiet river plus the nice balcony view on the river was a really great experience","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" A little bit bad memory at the end was the messy return bus to SH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The bus was supposed to come every 10-20 mins","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" At the end, however, we had to stand for 1 hr before we can get on the bus","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" Overall, it was still a nice getaway place if you are living in SH","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" A lot of stinky tofu around","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"This is a very beautiful sanctuary in the hustle and bustle of the surrounding area","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The lake itself is very beautiful and the walkways around the lake are filled with friendly people singing and dancing, plenty of places to grab a snack and a few historical makers and statues","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classic garden with Chinese expression","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Water spaces and thematic gardens","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" We advise you to arrive with happiness, because after 10 o'clock, tourists abound, making the dynamic of the visit less pleasant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Bund along the Huangpu river with its turn of the century buildings holds its charm and splendour amidst the different concessions once occupied by foreign expats","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The view is beautiful, the walk is wide, the spaces are clean and flowering, the towers are very well lit, the design is futuristic and modern","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"This was such a surprise when we arrived here","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" After the frenetic pace of the cities it was lovely to come here","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"the tranquility was almost palpable","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" We did a boat trip on the lake and just enjoyed the experience","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Very interesting to explore, with lots of ""rooms""  you could spend a long time discovering here","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Be careful of the uneven paving and steps when your gaze is upwards! Was quite crowded, although we visited in the morning","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Outside is the Bazaar, also great fun to explore","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"A wonderful places to go","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Takes you back in time in a city of skyscrapers everywhere","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" If you are a photographer, enjoy the perspectives through the various shape entrances and lots of photo spots in this place","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shanghai, a large city, is the best place to experience the beauty of the city","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The oriental pearl in the skyscraper is full of charm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" As long as you walk in a transparent state on the ground, you can taste the excitement","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"The whole is an old private house (estate) with a multitude of small areas, each more interesting than the other","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" It is necessary to take the time to discover the multitudes of sectors with different arrangements","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The interlocking of stones that act as the surface where we walk also deserves our attention","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" This was our favorite garden of Suzhou","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Visited with a tour group just over a week ago","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Loved what they had there but on a tour and with limited time (1 hour) and I think it was 4 floors to visit we did not really get to appreciate the full extent of the complex","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Would need at least half a day to see it properly but we did see was worth it","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Especially in the early evening, when it has cooled down a little, this is a great, sociable busy place to visit","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Stroll up and down the river, watching the lights come on in the Pudong towers, along with apparently half the population of Shanghai","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Not to miss the lighting of the towers at 7pm, it is magical especially on the terrace of the youth hostel on the Bund","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The side of the old town is very pleasant","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Although did not enter the Yuyuan Garden, but set up a variety of stores side by side, to go to the same atmosphere as a market","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" You can buy teahouse gentlemen and souvenirs","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Leifeng pagoda or tower are a must see place while in Hangzhou","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" It worth a trip from Shanghai","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Fantastic architecture and great view to the beautiful Wes Lake","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I was desperately trying to get a tourist map of Hangzhou at its railway station, without success, until I got it (English version) at Leifeng tower","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" The bonsai collection dazzled us","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" Lucky, not too many people that day in July","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is really a beautiful walk to make at the end of the day because magical as soon as the lights turn on","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Instead, leave its southern extremite (east of the Yu garden) to climb it up and take advantage of one of the terraces to have a drink and enjoy the show","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Personally, I like aquariums very much, so the penguins that fall in spring are very cute","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" Objectively speaking, it is no different from other aquariums","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"The Bund is a cool skyline to see at night","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" However, the river is extremely polluted","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Tons of plastic garbage float around, which makes the scenery not very enjoyable","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
" During my stay in Shanghai the smog and pollution gave me extreme headaches every single day","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
" In this part of town, it's pretty bad","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Come here at night to take pictures, and make sure to move in quickly","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We happened to be in Shanghai, and due to less time, we saw it from the Bund","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Amazing and beautiful","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Lightning patterns in the night make it even more charming","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What a beautiful place","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  Something to see around each corner","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  It is a hidden gem in the middle of a large shopping area","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  We spent a few hours here, mostly because we had to wait for some of the large crowds to clear to get a few photos without people everywhere","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  Take time to get off the regular path and find some of the back corners of this beautiful space in such a bustling city","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  This will be one of our families favorite memories of Shanghai","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"During the weekend visit, the day is crowded with tourists","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" On the trail, many people take pictures of tall buildings and TV towers on one side of Pudong","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" In the evening, the crowd became more crowded and the camera crew increased","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stroll and admire the skyline of Pudong or the old houses of the Bund","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Again and again beautiful","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Skyline also offers new discoveries again and again","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perhaps it has to do with the time we visited West Lake","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  We arrived here early September, when most of the Chinese traveler with kids have already returned home as school has started, but our school in US has not yet started","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  The timing is perfect","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  The crowded was not bad at all","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  At first I thought, what's the point of going to West Lake Hangzhou?  Isn't it just a lake? True, unless you have some background info of the culture here, it's just a lake","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  But it has its history, and legend","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  Even without the history, it's a pleasant place to be","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  What I like about West Lake is that, it's big, it's part of a city, and not part of a park that is enclosed in a fee area","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
